id,name,neighbourhood_cleansed,latitude,longitude,price,security_deposit,cleaning_fee,extra_people,guests_included,property_type,room_type,accommodates,bathrooms,bedrooms,beds,number_of_reviews,reviews_per_month,review_scores_rating,review_scores_location,availability_365,host_id,host_is_superhost,host_identity_verified,is_superhost
33801632,TRENDY AND SPACIOUS APARTMENT IN PALERMO SOHO,Palermo,-34.59023,-58.43166,2390.0,19914.0,1460.0,0.0,1,Apartment,Entire home/apt,2,2.0,1.0,1.0,28,2.3,99.0,10.0,90,99952072,True,False,0.0
33801795,Habitación cómoda individual en edificio antiguo,Balvanera,-34.61269,-58.40683,531.0,0.0,700.0,300.0,1,Apartment,Private room,2,1.0,1.0,1.0,1,0.08,100.0,10.0,2,255203361,False,False,0.0
33801924,Dpto. entero 5 ambientes en Villa Pueyrredon,Villa Pueyrredon,-34.58733,-58.5041,3983.0,13674.0,0.0,0.0,1,Apartment,Entire home/apt,5,2.0,3.0,4.0,8,1.45,85.0,9.0,178,168239821,False,False,0.0
33802757,ESPACIO CONGRESO I,Balvanera,-34.60529,-58.39646,1925.0,6638.0,664.0,996.0,1,Apartment,Entire home/apt,3,1.0,2.0,2.0,8,0.65,98.0,10.0,89,86390381,True,False,0.0
33803351,Las Cañitas. Modern & Sunny. Private terrace. Pool,Palermo,-34.5671,-58.43265,7302.0,,,0.0,1,Apartment,Entire home/apt,4,2.5,2.0,3.0,1,0.22,100.0,10.0,146,105574132,False,False,0.0
33803660,Departamento en el corazón de San Telmo.,Monserrat,-34.61597,-58.37572,597.0,5000.0,0.0,400.0,1,Apartment,Private room,2,1.0,1.0,1.0,2,0.17,100.0,10.0,365,63949934,False,True,0.0
33803939,"Home, siéntete como en tu casa.-",Recoleta,-34.58631,-58.40219,1726.0,,600.0,0.0,1,Apartment,Entire home/apt,2,1.0,1.0,1.0,11,2.05,100.0,10.0,178,60243672,True,True,0.0
33804828,PRACTICO DEPARTAMENTO CERCA METRO,Almagro,-34.60884,-58.42,3983.0,13276.0,6638.0,0.0,1,Apartment,Entire home/apt,3,1.0,1.0,2.0,1,0.08,100.0,10.0,365,974945,False,False,0.0
33805692,Space Recoleta,Recoleta,-34.58615,-58.40062,1792.0,,,0.0,1,Apartment,Entire home/apt,2,1.0,1.0,1.0,52,4.17,97.0,10.0,0,75935502,True,False,0.0
33805832,Espectacular departamento frente plaza San Martin!,Retiro,-34.59547,-58.37597,2987.0,0.0,996.0,332.0,2,Apartment,Entire home/apt,4,1.0,1.0,2.0,7,0.56,100.0,10.0,365,255235019,True,False,0.0
33805949,Habitación Palermos / Cañitas,Palermo,-34.57664,-58.42993,1991.0,6638.0,1328.0,1328.0,4,Apartment,Private room,2,1.0,0.0,1.0,1,0.09,100.0,10.0,89,114319483,False,False,0.0
33806072,"Brand new fully equipped apartment,  nearby UADE",Monserrat,-34.61677,-58.38375,2323.0,13276.0,1328.0,332.0,1,Apartment,Entire home/apt,2,1.0,1.0,1.0,3,0.43,100.0,9.0,83,47771855,True,False,0.0
33806178,Spacious and cosy flat at the heart of Palermo,Palermo,-34.5727,-58.43313,4315.0,,,0.0,1,Apartment,Entire home/apt,2,1.0,0.0,1.0,0,0.0,,,90,36433581,False,False,0.0
33807346,"Departamento de 1 ambiente, totalmente equipado.",Almagro,-34.60181,-58.42014,4647.0,,,0.0,1,Apartment,Entire home/apt,2,1.0,1.0,2.0,4,0.37,100.0,10.0,175,255246499,False,False,0.0
33808021,Toda la luz luz y terraza propia - Palermo,Palermo,-34.58256,-58.41511,3651.0,53104.0,1659.0,0.0,1,Apartment,Entire home/apt,2,1.0,1.0,1.0,0,0.0,,,363,48889213,False,True,0.0
33808308,Magda's House 3 BDR,Retiro,-34.59024,-58.38321,4049.0,26552.0,3651.0,664.0,2,Apartment,Entire home/apt,5,1.5,3.0,4.0,16,1.29,99.0,10.0,349,255257267,True,False,0.0
33808542,Espectacular duplex con vista panoramica al rio...,Nuñez,-34.54851,-58.45768,12015.0,5339.0,540.0,0.0,1,Condominium,Entire home/apt,5,2.0,2.0,2.0,5,0.4,92.0,10.0,363,253103444,False,False,0.0
33808896,Trendy Apartment  with Pool in Palermo Soho,Palermo,-34.59348,-58.42938,1859.0,,700.0,0.0,1,Apartment,Entire home/apt,2,1.0,1.0,1.0,9,0.73,100.0,10.0,0,169904848,False,False,0.0
33809805,En pleno Palermo,Retiro,-34.59433,-58.3873,531.0,,,0.0,1,Apartment,Private room,1,1.0,1.0,1.0,0,0.0,,,365,161254708,False,False,0.0
33809955,Luminoso departamento en Palermo Hollywood,Palermo,-34.57894,-58.42884,2191.0,0.0,1328.0,0.0,1,Apartment,Entire home/apt,3,1.0,0.0,1.0,10,0.81,90.0,10.0,179,17590485,False,True,0.0
33810379,"Departamento Av. Libertador, zona Recoleta",Retiro,-34.58906,-58.38233,7899.0,13276.0,1991.0,0.0,1,Apartment,Entire home/apt,6,1.5,3.0,5.0,4,0.41,100.0,10.0,139,255279682,False,False,0.0
33816701,Simpleza,Palermo,-34.58745,-58.42892,797.0,,,0.0,1,Apartment,Shared room,1,1.0,1.0,1.0,0,0.0,,,363,255326333,False,False,0.0
33820426,9 Palermo SOHO/HOLLYWOOD,Palermo,-34.58833,-58.439,3319.0,99570.0,1328.0,664.0,2,Apartment,Entire home/apt,3,1.0,1.0,1.0,3,0.3,93.0,9.0,363,30700159,False,True,0.0
33822135,"Nice terraces, green, design in the best location",Palermo,-34.5876,-58.42749,7235.0,33190.0,4315.0,1328.0,2,Apartment,Entire home/apt,4,1.0,2.0,3.0,1,0.24,100.0,10.0,185,153651,True,True,0.0
33822303,"Flat in Recoleta, Bustamante St. (18)",Recoleta,-34.58613,-58.40544,2987.0,0.0,1328.0,531.0,2,Apartment,Entire home/apt,4,1.5,2.0,3.0,30,2.43,95.0,10.0,159,48064803,False,True,0.0
33824035,Sunny apartment with balcony at the best location!,Palermo,-34.59035,-58.43019,2323.0,6638.0,996.0,0.0,1,Apartment,Entire home/apt,2,1.0,1.0,1.0,32,2.58,99.0,10.0,48,7162154,True,True,0.0
33826107,"Amazing apm, full amenities. The best of Palermo.",Palermo,-34.57789,-58.43962,5642.0,33190.0,3651.0,0.0,1,Apartment,Entire home/apt,3,1.0,1.0,2.0,7,0.81,89.0,10.0,180,1028764,False,False,0.0
33826356,Hermoso y cómodo apto. Recoleta.  4 pers. máximo,Retiro,-34.58896,-58.38408,4647.0,19914.0,3983.0,0.0,1,Apartment,Entire home/apt,4,1.0,2.0,2.0,0,0.0,,,0,36294699,False,True,0.0
33827124,Private room Palermo Best views of Buenos Aires!,Palermo,-34.57619,-58.42037,3518.0,,,0.0,1,Apartment,Private room,2,2.0,1.0,1.0,0,0.0,,,89,255398799,False,False,0.0
33827308,Hermoso y amplio departamento en Palermo Soho,Palermo,-34.58372,-58.42705,2058.0,0.0,1200.0,0.0,1,Apartment,Entire home/apt,4,2.0,2.0,2.0,26,2.36,96.0,10.0,361,255400372,True,False,0.0
33827419,Pura Paz en Pleno Palermo II,Palermo,-34.58621,-58.42305,3319.0,,,0.0,1,Apartment,Entire home/apt,2,1.0,1.0,0.0,1,0.08,100.0,10.0,364,253059426,False,False,0.0
33827651,Bohemia de arte y amenities. balcón con parrilla,Palermo,-34.59505,-58.41576,1261.0,,0.0,0.0,1,Apartment,Entire home/apt,2,1.5,1.0,4.0,7,0.56,93.0,10.0,0,254388950,False,False,0.0
33828815,Eco House - Habitación Sócrates - Hay 5 camas,Palermo,-34.58303,-58.44212,929.0,,,0.0,1,House,Shared room,1,4.5,1.0,5.0,0,0.0,,,112,180513181,True,True,0.0
33828932,Eco House - Habitación Sócrates - Hay 5 camas,Palermo,-34.58163,-58.44245,929.0,,,0.0,1,House,Shared room,1,4.5,1.0,5.0,0,0.0,,,112,180513181,True,True,0.0
33828934,Eco House - Habitación Sócrates - Hay 5 camas,Palermo,-34.58147,-58.44126,929.0,,,0.0,1,House,Shared room,1,4.5,1.0,5.0,0,0.0,,,112,180513181,True,True,0.0
33828941,Eco House - Habitación Sócrates - Hay 5 camas,Palermo,-34.58289,-58.44241,929.0,,,0.0,1,House,Shared room,1,4.5,1.0,5.0,0,0.0,,,112,180513181,True,True,0.0
33829264,PENT-HOUSE con TERRAZA en RECOLETA,Retiro,-34.59187,-58.38575,1991.0,0.0,531.0,664.0,2,Apartment,Entire home/apt,2,1.0,1.0,1.0,2,0.36,100.0,10.0,246,28563998,False,False,0.0
33829359,"Espacio abierto, 2 dormitorios principal en suite",Nuñez,-34.54927,-58.46167,4116.0,0.0,3319.0,0.0,1,Apartment,Entire home/apt,4,2.0,2.0,4.0,3,0.24,80.0,9.0,364,251561536,False,False,0.0
33830693,"Palermo Hollywood, studio, best location!",Palermo,-34.58049,-58.43231,1991.0,0.0,1991.0,0.0,1,Apartment,Entire home/apt,2,1.0,0.0,1.0,6,0.49,100.0,10.0,357,109889587,True,False,0.0
33831321,Magia Telmo 2,San Telmo,-34.61822,-58.37066,730.0,,0.0,600.0,1,Apartment,Private room,1,1.0,1.0,1.0,0,0.0,,,0,57689478,False,True,0.0
33831804,MONOAMBIENTE independiente en Casa de Artista,Boca,-34.62847,-58.36358,1328.0,,,0.0,1,House,Private room,2,1.0,1.0,1.0,0,0.0,,,83,57246735,False,False,0.0
33833950,ZONA BIEN UBICADA,Villa Devoto,-34.59958,-58.52386,597.0,,,0.0,1,Tiny house,Private room,1,1.0,1.0,1.0,0,0.0,,,365,226091109,False,False,0.0
33834088,Departamento amueblado calle arroyo embajadas,Retiro,-34.5914,-58.3804,7966.0,,,0.0,1,Apartment,Entire home/apt,2,1.5,1.0,1.0,0,0.0,,,358,49733027,False,False,0.0
33834171,DOWN TOWN - Grand View 2 - GYM SPA & SWIMMING POOL,Balvanera,-34.60918,-58.40048,2522.0,79655.0,1328.0,0.0,1,Apartment,Entire home/apt,2,1.0,1.0,1.0,0,0.0,,,365,30700159,False,True,0.0
33834797,Habitación privada frente a Alto Palermo-1 huésped,Palermo,-34.58898,-58.4108,664.0,6638.0,0.0,0.0,1,Apartment,Private room,1,1.0,1.0,1.0,62,4.97,98.0,10.0,0,132785287,True,False,0.0
33834835,Moderno Monoambiente en centro cercano a teatros,San Nicolas,-34.60366,-58.37796,2323.0,0.0,0.0,0.0,1,Apartment,Entire home/apt,2,1.0,1.0,1.0,18,1.49,93.0,10.0,362,255462589,False,True,0.0
33835398,Departamento tranquilo y cálido en buena ubicación,Belgrano,-34.55599,-58.45386,1726.0,,,0.0,1,Condominium,Entire home/apt,3,1.0,2.0,2.0,0,0.0,,,267,80742507,False,False,0.0
33837876,Habitación cálida y tranquila,Palermo,-34.5866,-58.43127,1328.0,0.0,13276.0,0.0,1,House,Private room,1,1.0,1.0,1.0,1,0.22,100.0,10.0,90,253138157,False,False,0.0
33844052,'Un lugar tranquilo en el corazón de la ciudad',Constitucion,-34.62122,-58.38818,398.0,10000.0,500.0,0.0,1,Serviced apartment,Private room,1,1.0,1.0,2.0,2,0.17,90.0,10.0,90,201675056,False,False,0.0
33848415,Coqueto  y luminoso depto en plaza San Martín,Retiro,-34.59662,-58.374,2987.0,13276.0,0.0,0.0,1,Apartment,Entire home/apt,2,1.0,1.0,1.0,14,1.44,100.0,10.0,316,135362822,True,False,0.0
33848734,DEPARTAMENTO IDEAL EN LA MEJOR ZONA DE CABALLITO,Caballito,-34.60919,-58.44866,1328.0,,,0.0,1,Apartment,Entire home/apt,2,1.0,1.0,1.0,12,0.98,100.0,10.0,114,255576800,True,False,0.0
33849304,Calido Monoambiente en Zona tranquila de CABA,Monte Castro,-34.61565,-58.49747,929.0,,,0.0,1,Apartment,Entire home/apt,2,1.0,1.0,2.0,3,0.25,,,0,108680845,False,True,0.0
33850101,The Hollywood,Palermo,-34.58214,-58.43668,929.0,0.0,332.0,0.0,1,Bed and breakfast,Private room,2,1.0,0.0,2.0,6,0.61,83.0,10.0,365,230653279,False,False,0.0
33851462,Humboldt Apart w/amenities @Palermo,Palermo,-34.57887,-58.42943,3983.0,0.0,996.0,0.0,1,Apartment,Entire home/apt,4,1.0,1.0,2.0,23,1.87,92.0,10.0,222,255602671,False,False,0.0
33851525,MI RINCÓN,Balvanera,-34.61691,-58.39361,1195.0,,,0.0,1,Apartment,Entire home/apt,3,1.0,1.0,2.0,54,4.49,98.0,10.0,351,250503949,True,False,0.0
